segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,rag_memory,33,0.5454545454545454,0.5038461538461538,0.0043926577443873,0.0055076349298822,0.9393939393939394,0.0296250092096776,0.0263966568579263,0.0148125046048388,6.7442106655203755
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,shock_rag,33,0.5757575757575758,0.5557692307692308,0.004194624747357,0.0058397292460857,0.9696969696969696,0.0302599543819678,0.0258498058337791,0.0151299771909839,7.213983658737007
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,case_model,33,0.4242424242424242,0.3634615384615385,0.0055344357703096,0.006554178899296,0.9696969696969696,0.0300882294148888,0.0308132139103362,0.0150441147074444,5.4365486679422235
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,fusion,33,0.7272727272727273,0.7076923076923077,0.0040917773293161,0.0054362513734153,1.0,0.0282947814330556,0.0249420850972632,0.0141473907165278,6.915034508435619
2016_2019,2016-01-01,2019-12-31,UUP_ret,regression,fusion_case,33,0.6666666666666666,0.6442307692307692,0.0042793352540331,0.0056012104135727,0.9696969696969696,0.0282032310975905,0.0239191134638883,0.0141016155487952,6.5905635860172715
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,baseline,18,0.6111111111111112,0.4846153846153846,0.0107286598843134,0.0138966125019451,0.8888888888888888,0.0509441209792754,0.0511322167976932,0.0254720604896377,4.74841420350754
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,shock_main,18,0.7222222222222222,0.5615384615384615,0.0094323645819537,0.0125268330306454,1.0,0.0504076571330957,0.0506137736108013,0.0252038285665478,5.344116705320837
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,shock_interactions,18,0.6111111111111112,0.4846153846153846,0.0114716584410416,0.0140550153325895,0.9444444444444444,0.0575680365657113,0.0586395077876104,0.0287840182828556,5.01828369991848
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,rag_memory,18,0.6666666666666666,0.5230769230769231,0.0121914231411953,0.0154030639046835,1.0,0.0582869066664767,0.0590850439736485,0.0291434533332383,4.780976428381236
2020_2021,2020-01-01,2021-12-31,GLD_ret,regression,shock_rag,18,0.6111111111111112,0.4230769230769231,0.0119801350791255,0.014737905420327,0.9444444444444444,0.0511108265501457,0.0470403438236333,0.0255554132750728,4.266298018559274
